date,ruined,equity,start_equity,gross_pnl,cost,funding,net_pnl,gross_return,net_return,traded_notional,gross_exposure,net_exposure,long_pnl,short_pnl,n_positions,n_live,multiplier,ex_ante_vol,ex_ante_vol_full_signal,held_ex_ante_vol,target_tracking_error
2020-06-17,False,99895.42437824843,99809.42290319584,89.06563914137908,0.47349417755827833,2.590669911238024,86.00147505258278,0.00089235701951471,0.0008616568711753273,473.49417755827835,5984.6911620431365,5149.130100816576,90.053106215107,-0.9874670737279115,17,17,0.0057542761634465376,7.519663645932663,15.93766590324396,0.049694269620582404,0.009613630308419175
2020-06-18,False,99817.12345407763,99895.42437824843,-75.64934998615567,1.0409940026856432,1.6105801819492698,-78.30092417079058,-0.0007572854358144938,-0.0007838289356908733,1040.9940026856432,5656.639918241377,5301.558124555,-78.5171268766496,2.8677768904939196,16,16,0.0057542761634465376,7.839821124518025,15.012633518059221,0.05002016919001086,0.008734778113227905
2020-06-19,False,99725.58586954365,99817.12345407763,-86.22035647100317,2.960081350859763,2.357146712120754,-91.53758453398369,-0.0008637832216300056,-0.0009170529200442941,2960.081350859763,6312.349583949004,5930.36019155028,-88.2265906262075,2.00623415520434,19,19,0.0057542761634465376,9.88834839009448,17.82007445034003,0.057227118624917035,0.009542787424021815
2020-06-20,False,99771.37769339928,99725.58586954365,48.75789642078287,0.6727668435159015,2.293305721638247,45.79182385562872,0.0004889206315074015,0.0004591782886643699,672.7668435159015,6667.341470127229,6228.443936972214,49.06729465623813,-0.309398235455266,19,19,0.0057542761634465376,9.928083053446867,17.82007445034003,0.05908233135804588,0.009277713485296794
2020-06-21,False,99802.09569970609,99771.37769339928,30.886290135384762,0.22447686427011485,-0.05619303569405476,30.7180063068087,0.0003095706489119489,0.0003078839544664417,224.47686427011485,6542.641329537227,6070.185515935075,28.60386680524086,2.282423330143903,19,19,0.0057542761634465376,9.332752479499764,17.82007445034003,0.057589775374669305,0.009338787187757859
2020-06-22,False,100133.09623246589,99802.09569970609,329.03502316966717,0.9154732275410659,-2.8809828176779737,331.0005327598041,0.0032968748888770696,0.003316568960192475,915.4732275410659,6458.363300305698,5979.135848517525,337.48633017329973,-8.4513070036325,18,18,0.0057542761634465376,8.9931154104241,16.890988991428056,0.05701751770378798,0.008939543407534256
2020-06-23,False,100319.0465662931,100133.09623246589,188.23164709668958,1.1197715690219607,1.1615417004642725,185.95033382720334,0.0018798145086784976,0.0018570316990449073,1119.7715690219607,7126.202443352925,6560.303456116252,187.64730618572676,0.5843409109628394,19,19,0.0057542761634465376,9.759945054093734,17.820074450340034,0.061354138949783955,0.010159122055307878
2020-06-24,False,100144.67013434372,100319.0465662931,-174.55960388498102,0.19785158180669554,-0.3810235174127903,-174.37643194937493,-0.001740044486663139,-0.001738218592758884,197.85158180669555,7222.763748940407,6606.389083356634,-183.9752018706147,9.415597985633692,19,19,0.0057542761634465376,9.983412192696006,17.82007445034003,0.06188299035011243,0.009786896093193106
2020-06-25,False,100186.98081345718,100144.67013434372,43.53160802072573,0.10380294432264144,1.1171259629433585,42.31067911345973,0.00043468721762554346,0.00042249556623133417,103.80294432264144,7133.1758934068,6356.339335066933,40.8293087774495,2.7022992432762294,19,19,0.0057542761634465376,9.654141319857382,17.820074450340034,0.05994629702285016,0.008829069447911127
2020-06-26,False,100164.24150528642,100186.98081345718,-27.813838950932638,2.8787457541103576,-7.953276534288478,-22.73930817075452,-0.00027761929469379384,-0.00022696869379758934,2878.7457541103577,7434.554797919036,6298.964965553761,-30.677848901622493,2.864009950689855,20,20,0.0057542761634465376,10.496029061048361,18.735860416831432,0.06263365113205466,0.010699910394035091
